Resource_Name;County;Longitude;Latitude;
House at New Forge;Columbia;-73.67602172;42.10602078;
Goodrich School;Albany;-73.74558413;42.72856967;
Jewish Center of Lake Huntington;Sullivan;-74.99499086;41.68195621;
Avon Village Historic District;Livingston;-77.74655613;42.91020636;
North Presbyterian Church;New York;-73.94438984;40.83247306;
Platt-Cady Mansion;Tioga;-76.36615159;42.02227721;
Howe, Dr. John Quincy, House;Ontario;-77.05566691;42.95739865;
First Presbyterian Church of Deposit;Broome;-75.422411;42.06320319;
Main Building, Vassar College;Dutchess;-73.89522439;41.68686612;
Biggs Memorial Hospital Cottage;Tompkins;-76.54003007;42.47117712;
Kreischer House;Richmond;-74.23778468;40.53258393;
Noyes, John, House;Yates;-76.92516096;42.52229866;
C.G. Meaker Food Company Warehouse;Onondaga;-76.16259311;43.04989841;
Howell, F.M., and Company;Chemung;-76.79969102;42.08611509;
New York State Armory;Orange;-74.01320744;41.49974221;
Engineering Societies' Building and Engineers' Club;New York;-73.98370014;40.75256382;
East Main Street Historic District;Chautauqua;-79.56957037;42.32658648;
Perot Malting Company Facility;Erie;-78.86327018;42.86269366;
Sherburne High School;Chenango;-75.49352838;42.67575334;
Westinghouse, George Jr., Birthplace and Boyhood Home;Schoharie;-74.33182274;42.70901737;
Schomburg Center for Research in Black Culture;New York;-73.94121465;40.81476031;
Neville House;Richmond;-74.09912802;40.64444925;
Ellery Calkins House;Sullivan;-75.06333542;41.70777791;
Leetch, Dr. Henry, House;Essex;-74.12019475;44.32644362;
15th Street - Prospect Park Subway Station (IND);Kings;-73.97968439;40.66049269;
United States Post Office-Akron;Erie;-78.49795608;43.02033002;
Merchant, Walter, House;Albany;-73.7628852;42.65609739;
Borough Hall Subway Station (IRT);Kings;-73.9903822;40.69246863;
Krom Stone House;Ulster;-74.22618793;41.82862938;
Longwood Historic District;Bronx;-73.89962381;40.8167729;
Newtonville United Methodist Church;Albany;-73.75973878;42.7245098;
Soldiers' Memorial Fountain and Park;Dutchess;-73.9311908;41.69973793;
Hallock, George W., House;Steuben;-77.31994903;42.33573631;
Dutch Reformed (Sleepy Hollow) Church;Westchester;-73.86172267;41.09105616;
West Point Foundry;Putnam;-73.95031675;41.41458766;
United Methodist Church;Suffolk;-73.0150138;40.76410484;
Fay-Usborne Mill;Chautauqua;-79.57713458;42.32715573;
Rexleigh Covered Bridge;Washington;-73.35562859;43.13482471;
Parke Apartments, 799 Lafayette Avenue, (aka mailing address 33 Gates Circle);Erie;-78.86962563;42.92009454;
Albany Felt Company Complex;Albany;-73.73378601;42.67686078;
Waterman-Gramps House;Montgomery;-74.61173051;42.93577481;
Public School 71K;Kings;-73.9565473;40.70173512;
Marlborough Building;Broome;-75.92192368;42.10495606;
St. Paul's Episcopal Church and Rectory - Calvary Baptist Church and Annex;Westchester;-73.86441466;41.15951513;
Cumming - Parker House (aka The Library);Ulster;-73.95671373;41.83092163;
Copake Railroad Depot;Columbia;-73.54394413;42.09551987;
Henry???s Garage;Essex;-73.46073715;44.04730929;
Franklin School;Schenectady;-73.92241737;42.82282642;
Philosophy Hall;New York;-73.96094445;40.80744895;
Ford, Lebbeus, House;Tioga;-76.19352265;42.31157552;
Hilton Avenue, Building at 47;Nassau;-73.6372259;40.72256529;
Metropolitan Life Insurance Company Complex;New York;-73.98671149;40.74121223;
East Otto Union School;Cattaraugus;-78.75431914;42.39098137;
Amos Wood House;Jefferson;-76.17581095;43.75019758;
Smithville Valley Grange No. 1397;Chenango;-75.80869238;42.39840256;
Dunning House;Orange;-74.45699055;41.38496477;
Jarvis-Fleet House;Suffolk;-73.39084292;40.89988274;
Mountainville Grange;Orange;-74.07893847;41.40040947;
United States Post Office-Hempstead;Nassau;-73.62836935;40.7073347;
Partridge Cottage;Essex;-74.12428932;44.32429943;
Fitzgerald Brothers Brewing Company Bottling Works;Rensselaer;-73.685925;42.73880166;
Center Theatre;Sullivan;-74.60178351;41.75848218;
Emerson Place;Jefferson;-75.89949817;43.97300194;
Court Street Historic District;Broome;-75.91146363;42.09887207;
Colyer Homestead;Schoharie;-74.29789655;42.69377546;
Centreport Aqueduct;Cayuga;-76.57742588;43.04282219;
Upper Nyack Firehouse;Rockland;-73.91753868;41.10134798;
German Reformed Sanctity Church Parsonage;Columbia;-73.88219693;42.14183363;
William Miller Farm Historic District;Washington;-73.31156194;43.59498987;
Emmanuel Episcopal Church;Chemung;-76.8027905;42.07987648;
Azure Mountain Fire Observation Station;Franklin;-74.4922155;44.54344814;
Central Fire Station;Schenectady;-73.94626994;42.81354763;
Free Synagogue of Flushing;Queens;-73.82809514;40.75731493;
Mendon Cobblestone Academy;Monroe;-77.50464167;42.99683722;
Saint Mary's Roman Catholic Church and Rectory;Monroe;-77.60604225;43.15316063;
Callicoon Methodist Church and Parsonage;Sullivan;-75.05543181;41.76695692;
Ingersoll, Robert, Birthplace;Yates;-76.95622485;42.68435281;
Kingston/Rondout 2 Lighthouse;Ulster;-73.96255646;41.92092672;
Wade Farm;Tioga;-76.20924902;42.18866864;
Sag Harbor Village District;Suffolk;-72.29493269;40.9972916;
Our Mother of Good Counsel Roman Catholic Church Complex;Erie;-78.82298099;42.79802957;
West Kortright Presbyterian Church;Delaware;-74.8519351;42.4021646;
Cole, Thomas, House;Greene;-73.86106746;42.22559919;
United States Post Office-Tonawanda;Erie;-78.87971897;43.0169844;
African Cemetery;Westchester;-73.70185348;40.9761272;
Stowell Residence;Onondaga;-76.17053955;43.02503636;
Prince George Hotel;New York;-73.98657264;40.74400488;
Dick's Castle;Putnam;-73.93044982;41.39952658;
Knollcroft;Columbia;-73.53099661;42.39187342;
Felpel, George, House;Columbia;-73.73221028;42.22669909;
Wagner, Webster, House;Montgomery;-74.56922647;42.91096984;
Oak Hill;Columbia;-73.84650739;42.19551447;
Central Powerhouse (Town of Moriah Water Department Building);Essex;-73.53620373;44.08966522;
Amboy District No. 2 Schoolhouse;Oswego;-75.90340171;43.36974726;
New York Architectural Terra Cotta Company Office Building;Queens;-73.95042449;40.75444423;
Canterbury Presbyterian Church;Orange;-74.03106761;41.43508077;
House at 207 Carpenter Avenue;Nassau;-73.64124537;40.84909271;
Miller Homestead;Clinton;-73.5612149;44.52450122;
Hicks Lumber Company Store;Nassau;-73.64965911;40.80054973;
"Van Gelder, David, Octagon House (Spring Side"")""";Greene;-73.8731812;42.21807745;
49 East 80th Street, House at;New York;-73.96102581;40.7770061;
Thomas Street, Building at No. 8;New York;-74.00557985;40.71585211;
Old Town Cemetery and Palatine Church Site;Orange;-74.00985858;41.50755732;
First Baptist Church;Dutchess;-73.9280074;41.70517743;
Fancher World War II Memorial;Orleans;-78.09116975;43.24427973;
Lacy-Van Vleet House;Tompkins;-76.30129654;42.49017734;
Washington Park Historic District (Boundary Increase);Albany;-73.76569416;42.65741099;
Broadway Historic District;Erie;-78.6637441;42.89859295;
Village Park Historic District;St. Lawrence;-75.16787012;44.59543821;
Buffalo Club;Erie;-78.87620921;42.89511044;
Brinkerhoff Street Historic District;Clinton;-73.45698244;44.69693222;
Balcastle;Suffolk;-72.38394595;40.88389791;
Woodchuck Lodge (Burroughs, John, Home);Delaware;-74.58235676;42.29515945;
Ellwanger and Barry - Highland Park Historic District;Monroe;-77.59996345;43.13532428;
St. James Chapel and Bard Infant School;Dutchess;-73.93506554;41.79119429;
Modern Times School;Suffolk;-73.25383699;40.77645468;
Bay Shore Hose Company No. 1 Firehouse;Suffolk;-73.24547704;40.72457788;
Evangelical Lutheran Church of St. Peter;Dutchess;-73.88710429;41.96272946;
Rainey Memorial Gates;Bronx;-73.87746097;40.85500017;
United States Post Office-Amsterdam;Montgomery;-74.19156322;42.93729197;
Cortland County Poor Farm;Cortland;-76.13780585;42.62644063;
Geneva Hall and Trinity Hall;Ontario;-76.98335349;42.8580764;
Thendara Historic District;Herkimer;-75.004443;43.69843266;
Hotel Saranac;Franklin;-74.13045377;44.32684899;
Grand Street Historic District;Rensselaer;-73.68648085;42.73330842;
Park Avenue Historic District;Monroe;-77.58190621;43.1465211;
Clermont Civic Historic District;Columbia;-73.82572094;42.08736126;
Buffalo Public School #44 (PS 44);Erie;-78.824183;42.89481351;
High Bridge Aqueduct and Water Tower;Bronx;-73.93259327;40.84245935;
Wilson, Edmund, House;Lewis;-75.36634278;43.53451373;
Leis Block;Franklin;-74.13234651;44.32912999;
Crosman Terrace Historic District;Monroe;-77.58547379;43.13906193;
George W. Bellows House;Ulster;-74.12097973;42.04609259;
Downs House & Farm;Suffolk;-72.59723517;40.97595975;
Gurley, W. & L.E., Building;Rensselaer;-73.68706398;42.73245778;
Neemes Foundry;Rensselaer;-73.69435589;42.72271018;
Tuthilltown Gristmill;Ulster;-74.17822297;41.68474302;
Fox, Albert R., House;Rensselaer;-73.53814864;42.63419245;
Rankin, John, House;Kings;-73.9987998;40.68154081;
Pilgrim Furniture Company Factory;Ulster;-74.00735248;41.92568978;
Birdsall, Stephen T., House;Warren;-73.64415889;43.3175528;
Wereholme;Suffolk;-73.21386312;40.71384678;
First Presbyterian Church Complex (church and manse);St. Lawrence;-75.46832254;44.33478951;
Rudolph Oyster Cull House;Suffolk;-73.09574087;40.72240098;
Madison-Putnam-60th Place Historic District;Queens;-73.90047519;40.70585774;
Trinity Episcopal Church Complex;Westchester;-73.83337307;40.90325315;
Waterford Village Historic District;Saratoga;-73.67853136;42.79082807;
Rivercrest Historic District;Broome;-75.9535481;42.0942933;
Geiger, Elias, House;Livingston;-77.7262488;42.51771333;
Terwilliger House;Ulster;-74.20498865;41.64990805;
The Servoss House;Orleans;-78.43085003;43.21801316;
Kennan, A. P. W., House;Suffolk;-73.41114205;40.90366025;
South Street Seaport;New York;-74.00291435;40.70611875;
Church of Notre Dame and Rectory;New York;-73.96045127;40.80511199;
J.F. O???Connor Auto Sales Company Building;Onondaga;-76.1239552;43.0478079;
United States Post Office-Knickerbocker Station;New York;-73.99188686;40.71418118;
Dorothy Riester House & Studio;Madison;-75.83549198;42.91270467;
United States Post Office-Mineola;Nassau;-73.63885088;40.74308833;
USS Croaker (SS 246);Erie;-78.88163664;42.87817573;
Watervliet Shaker Historic District (Boundary Increase);Albany;-73.81942919;42.73963531;
Mott Haven Historic District;Bronx;-73.9234063;40.81046719;
Marine Air Terminal, La Guardia Airport;Queens;-73.88579955;40.77356711;
Pittenger Cottage;Essex;-74.12188825;44.32860161;
Bush-Lyon Homestead;Westchester;-73.66670739;41.01303189;
Dodge-Greenleaf House;Orange;-74.54084357;41.47456439;
Sagamore;Hamilton;-74.62733534;43.76538361;
Ava Town Hall;Oneida;-75.48019988;43.41683618;
Commander;Rockland;-73.9751094;41.23123794;
Library Park Historic District;St. Lawrence;-75.49311731;44.69942518;
German Presbyterian Church and Hortonville Cemetery;Sullivan;-75.02790487;41.77216021;
Botsford, Samuel, House;Yates;-77.16119508;42.63012494;
Barngalow;Franklin;-74.12894914;44.334007;
Jeffrey's Hook Lighthouse;New York;-73.94694829;40.85025812;
Union Free School;Dutchess;-73.94503203;41.5890238;
Trinity Memorial Church;Broome;-75.91935056;42.09960364;
Hayground Windmill;Suffolk;-72.16550729;40.95515567;
Holy Rosary Church Complex;Monroe;-77.64129731;43.17985181;
Hilton Avenue, Building at 111;Nassau;-73.63910906;40.72755291;
Lacona Railroad Station;Oswego;-76.07017712;43.64273081;
Mansion Street, Building at 73;Dutchess;-73.92709147;41.70717931;
Fourth Avenue Methodist Episcopal Church;Kings;-74.01096463;40.6485159;
Scarsdale Woman's Club;Westchester;-73.79253655;40.98774262;
St. James Episcopal Church;Schuyler;-76.87125706;42.38004245;
Pittsford Village Historic District Boundary Increase;Monroe;-77.51501207;43.09026524;
Bumpstead, John, House;Suffolk;-73.44997327;40.8462681;
Christ Evangelical and Reformed Church;Seneca;-76.80833691;42.81425418;
Brown's Race Historic District;Monroe;-77.61578618;43.16088545;
Old Brooklyn Fire Headquarters;Kings;-73.98693782;40.69272346;
East End Historic District;Orange;-74.01268594;41.50217713;
Reformed Church of Melrose;Bronx;-73.91362452;40.82047034;
Clayton Historic District (Boundary Increase);Jefferson;-76.08709543;44.24246039;
Agudas Achim Synagogue;Sullivan;-74.82405521;41.90095302;
Silliman Memorial Presbyterian Church;Albany;-73.700494;42.7746382;
First Congregational Church and Society of Volney;Oswego;-76.33823558;43.33846103;
Austerlitz Historic District;Columbia;-73.47338786;42.30805652;
Old Hawleyton Methodist Episcopal Church;Broome;-75.91671291;42.01882649;
Essex Village Historic District;Essex;-73.35290451;44.31242044;
St. Peter's Episcopal Church Complex;Cayuga;-76.57113278;42.92988562;
Hotel Chelsea;New York;-73.99688711;40.74432129;
St. Mary's Academy;Warren;-73.64231018;43.31014627;
Hervey Ely House;Monroe;-77.61767666;43.15147235;
Lafayette Park Historic District;Albany;-73.7561808;42.6530344;
Batavia Club;Genesee;-78.18163353;42.99763248;
Riverside Park and Drive;New York;-73.97405269;40.79967599;
St. John's Episcopal Church;Fulton;-74.37316867;43.00679585;
Norton Farm;Oneida;-75.39342191;43.06453216;
St. Mark's Cemetery;Westchester;-73.72596193;41.19453072;
Knickerbocker Mansion;Rensselaer;-73.65134671;42.90537903;
Mackay Estate Water Tower;Nassau;-73.6394136;40.79740388;
Young Men's Christian Association Building;Albany;-73.75178997;42.65199167;
Buffalo Public School #78 (PS78);Erie;-78.81775118;42.93184513;
United States Post Office-Delhi;Delaware;-74.9176876;42.27772928;
Fifth Avenue, Houses at 647 and 651-653, and 4 East 52nd Street;New York;-73.97605524;40.75946289;
M/V MOHICAN;Warren;-73.70967742;43.42107335;
Boughton/Haight House;Dutchess;-73.92573426;41.69820999;
Old Champlain Canal;Saratoga;-73.59127962;43.10033251;
New York State Capitol;Albany;-73.75733574;42.65257737;
Cyrus Rexford House;Saratoga;-73.88931123;42.85555026;
Sutherland, David, House;Orange;-74.0394474;41.43000075;
Barnes-Hiscock House (Corinthian Club);Onondaga;-76.13663954;43.05735157;
Sacandaga Railroad Station;Fulton;-74.18552691;43.21708655;
St. Andrews Episcopal Church;Albany;-73.78818629;42.66478523;
William Connors Paint Manufacturing Company;Rensselaer;-73.68471283;42.74487434;
Corbin Building;New York;-74.00912565;40.71019802;
Sylvan Grove Cemetery;Richmond;-74.19216026;40.59138772;
Stonihurst;Orange;-73.96663706;41.35707965;
Wave Hill;Bronx;-73.91243716;40.89889575;
Clark, Starr, Tin Shop;Oswego;-76.22837815;43.46014802;
Bailey House;New York;-73.94204069;40.82720378;
Public School 9;New York;-73.97922072;40.78633988;
Cottage Row Historic District;Franklin;-74.13299896;44.33323094;
State Theater;Essex;-73.42625724;43.84883767;
Chemung Canal Bank Building;Chemung;-76.8005213;42.08876445;
Powers Building and Powers Hotel (Additional Documentation);Monroe;-77.61390186;43.15608616;
The Alpine;Greene;-74.10523333;42.1966764;
Henry Street Settlement and Neighborhood Playhouse;New York;-73.98379228;40.71509232;
Ashokan-Turnwood Covered Bridge;Ulster;-74.19888812;41.92662944;
Wallace Building;New York;-74.00832935;40.70684434;
Aubertine Building;Jefferson;-76.33195044;44.12901807;
Shinnecock Hills Golf Club;Suffolk;-72.44016921;40.89631832;
Sixty-Eighth Police Precinct Station House and Stable;Kings;-74.00898481;40.65041203;
Triboro Hospital for Tuberculosis;Queens;-73.80754374;40.71756971;
St Mary's Episcopal Church;Otsego;-74.87672835;42.8282691;
Williams, Elisha, House (Hawthorne);Columbia;-73.77162765;42.24711933;
Strand Theatre;Tompkins;-76.49497959;42.44003796;
190th Street Subway Station (IND);New York;-73.93426611;40.85897978;
Hallman Chevrolet;Monroe;-77.59845633;43.15692162;
New York Public Library, Yorkville Branch;New York;-73.95641256;40.77360508;
Trinity Episcopal Church;Herkimer;-74.91103551;43.13567587;
Irving, Washington, High School;Westchester;-73.85722496;41.07702382;
Huntley Apartments;Onondaga;-76.17096453;43.02992211;
The Emerson;New York;-73.99317768;40.76746088;
Metropolitan Life Insurance Company Hall of Records;Westchester;-73.84701186;40.94287811;
Williams, Henry, House;Suffolk;-73.42312538;40.87879613;
United States Post Office-North Tonawanda;Niagara;-78.87303782;43.02499261;
Maplewood Historic District Boundary Increase;Monroe;-77.63307128;43.18827423;
Ninth Street, Building at 112;Nassau;-73.63682443;40.72734057;
Hogeboom, Stephen, House;Columbia;-73.74198656;42.22236057;
Aldrich and Ray Manufacturing Company Building;Erie;-78.8974174;42.92480576;
Thompson House;Dutchess;-73.92040784;41.68069847;
Lake View Cemetery;Monroe;-77.93820177;43.19185009;
East Berkshire United Methodist Church;Tioga;-76.14514831;42.3067387;
Reformed Dutch Church of Rensselaer in Watervliet;Albany;-73.7590122;42.74810587;
Richardson's Tavern;Monroe;-77.47653385;43.06237496;
Smith House;Orange;-74.23849013;41.54944964;
Miller Corset/Labelon;Ontario;-77.28225537;42.88707431;
Verdoy School;Albany;-73.77721843;42.73270349;
Wallabout Historic District;Kings;-73.96894704;40.69455889;
Grove-Linden-St. John's Historic District;Queens;-73.90677968;40.70658359;
Brick Tavern Stand;Schuyler;-76.84484687;42.3477107;
Barcalo Manufacturing Company Factory;Erie;-78.86540901;42.86751995;
Prattsville Commercial Building;Greene;-74.43588112;42.31697035;
Moore, William H., House;New York;-73.97490788;40.76060259;
Union Hotel;Jefferson;-76.12314867;43.94849439;
Smith's Opera House;Ontario;-76.98410599;42.86709319;
Hilton, Peter A., House;Schoharie;-74.58949233;42.74190194;
Mexico Academy and Central School;Oswego;-76.23446838;43.46053463;
United States Post Office-Fulton;Oswego;-76.41466569;43.31770785;
Conkling, Roscoe House (Rutger-Steuben Historic District);Oneida;-75.22956956;43.09604569;
Isaac Shipley House;Wayne;-77.18367143;43.26835068;
Little Falls City Hall;Herkimer;-74.85552557;43.04452918;
Spaulding, Henry F., Coachman's House;Bronx;-73.91066679;40.89843894;
Hovey, Charles C., Residence and Strong Leather Company Mill;Chenango;-75.4826663;42.29594821;
Gregory House;Dutchess;-73.91758602;41.69596302;
Rosenlund Estate Buildings;Dutchess;-73.93269689;41.72201573;
United States Post Office-Honeoye Falls;Monroe;-77.59253573;42.95243857;
Pines, The;Dutchess;-73.65558032;41.98288212;
Ticonderoga High School;Essex;-73.427468;43.84284781;
Richmondville United Methodist Church;Schoharie;-74.56516358;42.63442544;
Hathorn, General John, Stone House;Orange;-74.37075842;41.24665779;
McBean Cottage;Franklin;-74.13009782;44.3323336;
Burns Family Farm;Delaware;-74.68238542;42.29964787;
Henry Whitney House;Broome;-75.95603101;42.32566973;
Ohave Shalom Synagogue;Sullivan;-74.57232973;41.71086928;
Warner, Asahel, House;Livingston;-77.62061061;42.90226659;
Fort Hill Estate;Suffolk;-73.48774158;40.91877528;
Fort Decker;Orange;-74.70154358;41.37847497;
Morschauser House;Dutchess;-73.91983796;41.69029068;
Burr, Theodore, House (Oxford Memorial Library);Chenango;-75.59677181;42.44073701;
Muldor-Miller House;Columbia;-73.74073894;42.22307392;
Lamb's Club;New York;-73.98458693;40.75650269;
Carpenter, John B., House;Clinton;-73.47324859;44.70078022;
Creek Meeting House and Friends' Cemetery;Dutchess;-73.76207722;41.83169531;
Rivoli Theater;Sullivan;-74.62879153;41.70961408;
The Uplands;Essex;-73.79192935;44.19961873;
Hazelhurst;Onondaga;-76.41890519;42.94415156;
St. Luke's Episcopal Church Complex;Dutchess;-73.963427;41.49797862;
New Lebanon District No. 8 School;Columbia;-73.39492732;42.4646224;
Boonville Historic District;Oneida;-75.33780359;43.48455292;
MaGee, Merrill, House;Warren;-73.77684835;43.49593728;
East Hounsfield Church;Jefferson;-75.99224157;43.96895435;
St. Stephen???s Mission Church Complex;Bronx;-73.86354454;40.9002842;
Nash, Rev. J. Edward, Sr., House;Erie;-78.86664643;42.88586097;
Marble Schoolhouse;Westchester;-73.81117901;40.92980354;
Crandell Theatre;Columbia;-73.59587035;42.36341886;
Linwood;Livingston;-77.93654332;42.86633419;
Nixon Homestead;Chautauqua;-79.58409377;42.31879572;
Beebe Windmill;Suffolk;-72.30070793;40.93430502;
The Maples;Madison;-75.83594926;42.92184803;
Wing, William R., Farm Complex;Schenectady;-74.2370389;42.76493403;
United States Post Office-Port Chester;Westchester;-73.66807997;41.00335378;
Nathan Garnsey House;Saratoga;-73.86608392;42.86963116;
Lent Cottage;Essex;-74.12547323;44.3284363;
Collins, Jonathan C., House and Cemetery;Lewis;-75.40970974;43.56244853;
Grand Hotel;New York;-73.98798951;40.74716997;
Residence;Rockland;-73.9174962;41.03704538;
Hickey-Freeman Company;Monroe;-77.61481833;43.17977221;
Fort St. Frederic;Essex;-73.42613097;44.03040087;
Clarendon Stone Store;Orleans;-78.06470006;43.19384395;
Little Theatre;Monroe;-77.59789749;43.15620623;
Leland Castle;Westchester;-73.78110993;40.90155806;
Main Street Historic District;Steuben;-77.23412601;42.10588467;
Kings County Savings Bank;Kings;-73.96357008;40.71060854;
Rider-Hopkins Farm and Olmsted Camp;Erie;-78.51252333;42.53091684;
General Electric Building;New York;-73.97240559;40.75708602;
Bird Homestead;Westchester;-73.68928725;40.95958044;
Armory Square Historic District;Onondaga;-76.15463637;43.04759872;
Union Street-Academy Hill Historic District;Orange;-74.23810301;41.52498833;
Yonkers Water Works;Westchester;-73.86474046;40.95795135;
Camp Uncas;Hamilton;-74.64831994;43.74448663;
HELEN MCALLISTER, harbor tugboat;New York;-74.0033974;40.70537798;
Havens, James, Homestead;Suffolk;-72.33129199;41.06412872;
United States Post Office-Saratoga Springs;Saratoga;-73.78520413;43.08357258;
Walter Beckwith House;Dutchess;-73.72832235;41.842908;
Byrne, Senator William T., House;Albany;-73.75477472;42.70982571;
Essex County Fairgrounds;Essex;-73.44805088;44.18681752;
Delaney Hotel;Rensselaer;-73.34228319;42.92859633;
House at 313 North Main Street;Madison;-75.75524545;43.08422518;
Church of the Incarnation and Parish House;New York;-73.98199301;40.74848185;
Beakes, John G., House;Orange;-74.42658188;41.44793068;
Roxbury Historic District;Delaware;-74.56652585;42.29084848;
Jenkins House;Schenectady;-74.18854018;42.74615142;
White, Sidney, House;Albany;-74.19910049;42.46897402;
Cyrus Bates House;Jefferson;-76.20271921;43.82256275;
Market Street Historic District (Boundary Increase);Steuben;-77.05906838;42.14440403;
Knights of the Maccabees Hall;Ontario;-77.32775432;42.82199865;
St. Paul's Episcopal Church;Rockland;-74.04592083;41.1089532;
By-the-Harbor;Suffolk;-73.18020465;40.8918896;
Castle Rock;Putnam;-73.94046362;41.36827204;
Evergreen Cemetery;Tioga;-76.26495591;42.11139707;
U.S. Inspection Station-Trout River;Franklin;-74.30849722;44.99166608;
Ingleside Home;Erie;-78.86306981;42.91908622;
Holy Trinity Church, St. Christopher House and Parsonage;New York;-73.94972702;40.77847937;
Stillman Farmstead;Oswego;-76.16230782;43.46060263;
Newkirk Homestead;Greene;-73.90666947;42.26666934;
Bangall Post Office;Dutchess;-73.69183763;41.87572126;
Italian Community Bake Oven;Herkimer;-74.83182411;43.0388326;
Poughkeepsie Underwear Factory;Dutchess;-73.91798442;41.70148334;
Otter Lake Community Church;Oneida;-75.11288628;43.58938327;
Brooklyn VA Hospital;Kings;-74.02394791;40.60789749;
Pratt Institute Historic District;Kings;-73.96371786;40.69130855;
New York State Barge Canal Historic District;Albany;-75.30458147;43.09901186;
Church of the Holy Cross;Rensselaer;-73.68313891;42.7323757;
Rogers Brothers Farmstead;Jefferson;-76.34796028;44.0806966;
World War Memorial Library;Steuben;-77.05528381;42.14178365;
DuBois, Henry A., and Evalina, House;Columbia;-73.78122518;42.23788006;
Merrell???Soule None Such Mince Meat Factory;Onondaga;-76.15703722;43.0577115;
Nuits;Westchester;-73.87457179;41.02489018;
Parry House;Orange;-73.96244122;41.36909128;
Look Building;New York;-73.97524183;40.75889799;
Nassau County Courthouse;Nassau;-73.63436558;40.73886222;
Fire Hook and Ladder No. 14;New York;-73.93819388;40.80440053;
Bronck-Sylvester House;Greene;-73.81397324;42.35894514;
Hubbard House;Kings;-73.97308791;40.60024529;
Garrison Union Free School;Putnam;-73.93766458;41.38083208;
Dodge, Lillian Sefton, Estate;Nassau;-73.5583166;40.87933322;
Church of St. Mary the Virgin Complex;New York;-73.98360669;40.75835847;
Reformed Presbyterian Church Parsonage;Schenectady;-74.15675507;42.77112674;
York-Skinner House;Chautauqua;-79.57406558;42.32175519;
Sea Cliff Village Hall, Library and Museum Complex;Nassau;-73.64717966;40.84944228;
Old Field Point Light Station;Suffolk;-73.11896968;40.97654971;
Wilson, Albert E. and Emily, House;Westchester;-73.72883775;40.95486138;
First Presbyterian Church;Schoharie;-74.61351228;42.48065026;
Irvington Historic District;Westchester;-73.86996037;41.03934626;
Potter, Judge Joseph, House;Washington;-73.39852897;43.55574939;
Ketchum, B., House;Suffolk;-73.29717017;40.89932054;
Hillsdale Hamlet Historic District;Columbia;-73.52229656;42.18019199;
Luckey, Platt & Company Department Store;Dutchess;-73.92606868;41.70261619;
Busti Mill;Chautauqua;-79.28140946;42.03204752;
How, James and Fanny, House;Erie;-78.87424163;42.91645489;
